hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID,total_guests,total_stay,lead_time_group,Revenue,guest_type,is_loyal,has_changes,is_waiting,season,high_intent,price_per_person
"Greensboro Courtyard Greensboro, NC",0,5,2018,January,2,4,1,3,2,0.0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,68.0,0,0,Check-Out,2018-01-08,6551,2.0,4,last_minute,272.0,couple,no,0,0,normal,0,34.0
"Marriott Puerto Vallarta Resort & Spa Puerto Vallarta, Mexico",0,321,2019,June,23,5,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,0,Transient-Party,80.46,0,1,Check-Out,2019-06-12,6552,2.0,7,long_term,563.2199999999999,couple,no,1,0,peak,0,40.23
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",1,70,2019,April,15,11,0,4,2,0.0,0,Undefined,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,0,Transient,128.8,0,1,Canceled,2019-03-20,6553,2.0,4,medium_term,515.2,couple,no,1,0,normal,0,64.4
"Newark Liberty International Airport Courtyard Newark, NJ",0,1,2019,February,9,27,1,0,1,0.0,0,BB,PRT,Direct,Direct,1,0,2,A,A,0,No Deposit,14.0,0,Transient-Party,55.0,0,1,Check-Out,2019-02-28,6554,1.0,1,last_minute,55.0,solo,yes,0,0,normal,0,55.0
"The St. Regis Osaka Osaka, Japan",0,0,2019,February,7,18,1,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,60.0,0,0,Check-Out,2019-02-20,6555,1.0,2,last_minute,120.0,solo,no,0,0,normal,0,60.0
"Indianapolis Airport Courtyard Indianapolis, IN",0,41,2017,December,53,31,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,0,Transient,145.87,0,1,Check-Out,2018-01-03,6556,2.0,3,medium_term,437.61,couple,no,0,0,holiday,0,72.935
"Treasure Beach, Barbados Barbados",1,261,2018,September,38,16,1,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,110.0,0,2,Canceled,2018-04-21,6557,2.0,3,long_term,330.0,couple,no,0,0,normal,1,55.0
"Colony Club, Barbados Barbados",0,195,2018,August,36,31,2,4,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,187.5,1,0,Check-Out,2018-09-06,6558,2.0,6,long_term,1125.0,couple,no,0,0,peak,0,93.75
"Chicago O'Hare Courtyard Des Plaines, IL",1,164,2019,May,20,15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,14.0,0,Transient,160.0,0,0,Canceled,2019-01-31,6559,1.0,3,long_term,480.0,solo,no,0,0,normal,0,160.0
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",1,116,2018,May,22,28,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0,Transient-Party,55.0,0,1,Canceled,2018-02-03,6560,2.0,7,long_term,385.0,couple,no,0,0,normal,0,27.5
"Berlin Marriott Hotel Berlin, Germany",1,80,2019,March,13,31,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,56.0,0,Transient,90.0,0,0,Canceled,2019-01-10,6561,2.0,2,medium_term,180.0,couple,no,0,0,normal,0,45.0
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",0,43,2018,October,44,29,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,F,1,No Deposit,240.0,0,Transient,79.0,0,0,Check-Out,2018-11-02,6562,2.0,4,medium_term,316.0,couple,no,1,0,normal,0,39.5
"Courtyard Las Vegas Convention Center Las Vegas, NV ",0,316,2018,May,22,26,0,3,2,0.0,0,BB,AUT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,0,Transient-Party,110.0,0,0,Check-Out,2018-05-29,6563,2.0,3,long_term,330.0,couple,no,0,0,normal,0,55.0
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,151,2017,August,34,21,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,76.5,0,2,Check-Out,2017-08-26,6564,2.0,5,long_term,382.5,couple,no,0,0,peak,1,38.25
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",1,19,2018,April,16,14,1,3,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,156.5,0,0,Canceled,2018-04-04,6565,3.0,4,short_term,626.0,family/group,no,0,0,normal,0,52.166666666666664
"The St. Regis Osaka Osaka, Japan",0,85,2018,August,34,20,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,339.0,0,Transient,193.77,0,0,Check-Out,2018-08-27,6566,2.0,7,medium_term,1356.39,couple,no,1,0,peak,0,96.885
"Chicago O'Hare Courtyard Des Plaines, IL",0,211,2018,May,20,14,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,0,Transient-Party,85.0,0,0,Check-Out,2018-05-16,6567,2.0,2,long_term,170.0,couple,no,0,0,normal,0,42.5
"Orlando Airport Courtyard Orlando, FL",1,226,2018,September,37,5,1,2,3,0.0,0,BB,BRA,Direct,Direct,0,0,0,F,F,0,No Deposit,14.0,0,Transient,172.8,0,0,Canceled,2018-01-26,6568,3.0,3,long_term,518.4000000000001,family/group,no,0,0,normal,0,57.6
"Greensboro Courtyard Greensboro, NC",0,73,2019,April,13,1,2,2,3,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16.0,0,Transient,125.1,0,0,Check-Out,2019-04-05,6569,3.0,4,medium_term,500.4,family/group,no,0,0,normal,0,41.699999999999996
"Treasure Beach, Barbados Barbados",1,552,2019,January,2,12,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,62.0,0,0,Canceled,2017-10-21,6570,2.0,2,long_term,124.0,couple,no,0,0,normal,0,31.0
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",1,267,2017,September,39,26,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,96.0,0,Transient,54.99,0,0,Canceled,2017-06-17,6571,2.0,7,long_term,384.93,couple,no,0,0,normal,0,27.495
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,273,2017,July,29,17,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,109.0,0,0,Check-Out,2017-07-19,6572,2.0,2,long_term,218.0,couple,no,0,0,peak,0,54.5
"The St. Regis Osaka Osaka, Japan",0,202,2019,August,32,10,0,3,3,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,G,0,No Deposit,8.0,0,Transient,255.5,0,0,Check-Out,2019-08-13,6573,3.0,3,long_term,766.5,family/group,no,0,0,peak,0,85.16666666666667
"Chicago O'Hare Courtyard Des Plaines, IL",0,68,2019,May,18,2,0,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,50.85,0,2,Check-Out,2019-05-07,6574,2.0,5,medium_term,254.25,couple,no,0,0,normal,1,25.425
"Sheraton Mexico City Maria Isabel Hotel Mexico City, Mexico",0,222,2019,May,20,16,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,143.0,0,Transient,42.95,0,1,Check-Out,2019-05-23,6575,2.0,7,long_term,300.65000000000003,couple,no,0,0,normal,0,21.475
"W Barcelona Barcelona, Spain",0,2,2018,November,47,16,2,8,0,0.0,0,SC,ITA,Offline TA/TO,TA/TO,0,0,0,A,K,6,No Deposit,371.0,0,Transient-Party,0.0,0,0,Check-Out,2018-11-26,6576,0.0,10,last_minute,0.0,family/group,no,1,0,normal,0,
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",1,153,2018,December,53,29,2,3,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,122.91,0,0,Canceled,2018-08-02,6577,3.0,5,long_term,614.55,family/group,no,0,0,holiday,0,40.97
"Frankfurt Marriott Hotel Frankfurt, Germany",1,233,2018,October,42,14,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,0,Transient,90.0,0,0,Canceled,2018-08-17,6578,2.0,3,long_term,270.0,couple,no,0,0,normal,0,45.0
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",0,164,2018,October,41,4,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,0,Transient,82.28,0,0,Check-Out,2018-10-11,6579,2.0,7,long_term,575.96,couple,no,0,0,normal,0,41.14
"Anaheim Marriott Anaheim, CA",1,92,2019,April,14,7,1,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,99.0,0,0,Canceled,2019-01-05,6580,2.0,3,long_term,297.0,couple,no,0,0,normal,0,49.5
"Protea Hotel Fire & Ice! by Marriott Cape Town Cape Town, South Africa",0,223,2018,May,22,24,1,5,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,E,1,No Deposit,14.0,0,Transient-Party,66.0,0,0,Check-Out,2018-05-30,6581,2.0,6,long_term,396.0,couple,no,1,0,normal,0,33.0
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",0,12,2019,January,1,3,0,3,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,0,Transient,90.1,0,1,Check-Out,2019-01-06,6582,1.0,3,short_term,270.29999999999995,solo,no,1,0,normal,0,90.1
"Renaissance New York Times Square Hotel New York, NY",0,37,2018,September,40,26,1,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,108.0,0,2,Check-Out,2018-09-28,6583,2.0,2,medium_term,216.0,couple,no,0,0,normal,1,54.0
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",1,10,2019,March,9,2,0,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,9.0,0,Transient,108.0,0,0,Canceled,2019-02-24,6584,2.0,1,short_term,108.0,couple,no,1,0,normal,0,54.0
"Louisville East Courtyard Louisville, KY",0,62,2018,July,31,26,0,4,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,146.7,1,2,Check-Out,2018-07-30,6585,3.0,4,medium_term,586.8,family/group,no,0,0,peak,1,48.9
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,61,2019,May,18,6,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,122.4,0,1,Check-Out,2019-05-10,6586,2.0,4,medium_term,489.6,couple,no,0,0,normal,0,61.2
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",0,0,2018,March,10,3,0,1,2,0.0,0,BB,PRT,Direct,Direct,1,0,5,A,D,0,No Deposit,14.0,0,Transient,40.0,0,1,Check-Out,2018-03-04,6587,2.0,1,last_minute,40.0,couple,yes,0,0,normal,0,20.0
"W Barcelona Barcelona, Spain",1,461,2018,October,42,13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,62.0,0,0,Canceled,2017-10-21,6588,2.0,2,long_term,124.0,couple,no,0,0,normal,0,31.0
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,55,2018,April,15,6,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,0,Transient-Party,104.0,0,0,Check-Out,2018-04-07,6589,2.0,1,medium_term,104.0,couple,no,0,0,normal,0,52.0
"Las Vegas Marriott Las Vegas, NV ",0,152,2019,February,7,13,1,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,0,Transient,75.0,0,0,Check-Out,2019-02-15,6590,2.0,2,long_term,150.0,couple,no,0,0,normal,0,37.5
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",1,51,2019,June,26,30,2,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,531.0,0,Transient,76.0,0,0,Canceled,2019-05-12,6591,2.0,4,medium_term,304.0,couple,no,0,0,peak,0,38.0
"Frankfurt Marriott Hotel Frankfurt, Germany",0,219,2017,September,36,4,1,2,1,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,0,Transient-Party,76.67,0,0,Check-Out,2017-09-07,6592,1.0,3,long_term,230.01,solo,no,0,0,normal,0,76.67
"Renaissance Hamburg Hotel Hamburg, Germany",1,1,2017,August,32,5,0,2,3,0.0,0,BB,PRT,Undefined,Undefined,0,0,0,B,B,0,No Deposit,14.0,0,Transient-Party,18.0,0,2,Canceled,2017-08-04,6593,3.0,2,last_minute,36.0,family/group,no,0,0,peak,1,6.0
"W New York – Times Square New York, NY",1,317,2018,September,38,15,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,0,Transient,120.0,0,0,Canceled,2018-02-09,6594,2.0,2,long_term,240.0,couple,no,0,0,normal,0,60.0
"Turtle Beach, Barbados Barbados",1,186,2018,August,33,10,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,118.8,0,1,Canceled,2018-07-30,6595,2.0,2,long_term,237.6,couple,no,0,0,peak,0,59.4
"Turtle Beach, Barbados Barbados",0,0,2019,June,25,19,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,1,No Deposit,14.0,0,Transient,142.5,1,0,Check-Out,2019-06-20,6596,2.0,1,last_minute,142.5,couple,no,1,0,peak,0,71.25
"Marriott Puerto Vallarta Resort & Spa Puerto Vallarta, Mexico",1,290,2018,December,49,1,1,3,2,0.0,0,BB,SVK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,73.95,0,0,Canceled,2018-10-27,6597,2.0,4,long_term,295.8,couple,no,0,0,holiday,0,36.975
"Sacramento Airport Natomas Courtyard Sacramento, CA",1,68,2018,February,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,37.0,0,Transient,75.0,0,0,Canceled,2018-01-06,6598,2.0,2,medium_term,150.0,couple,no,0,0,normal,0,37.5
"Crystal Cove, Barbados Barbados",0,26,2019,August,31,4,1,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,0,Transient,253.49,0,2,Check-Out,2019-08-07,6599,3.0,3,short_term,760.47,family/group,no,0,0,peak,1,84.49666666666667
"Albuquerque Airport Courtyard Albuquerque, NM",1,165,2019,May,20,19,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,14.0,0,Transient,225.0,0,0,Canceled,2019-01-12,6600,2.0,4,long_term,900.0,couple,no,0,0,normal,0,112.5
"Anaheim Marriott Anaheim, CA",0,3,2019,May,22,31,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,88.0,1,1,Check-Out,2019-06-01,6601,2.0,1,last_minute,88.0,couple,no,0,0,normal,0,44.0
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",0,192,2018,June,26,24,0,2,1,0.0,0,BB,SRB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,34.0,0,Transient-Party,95.0,0,0,Check-Out,2018-06-26,6602,1.0,2,long_term,190.0,solo,no,0,0,peak,0,95.0
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,10,2018,January,4,17,2,5,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,78.5,1,2,Check-Out,2018-01-24,6603,2.0,7,short_term,549.5,couple,no,0,0,normal,1,39.25
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",1,203,2018,June,23,2,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,41,Transient,65.0,0,0,Canceled,2017-12-23,6604,2.0,3,long_term,195.0,couple,no,0,1,peak,0,32.5
"St. Louis Downtown West Courtyard St. Louis, MO",1,138,2018,April,18,25,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,E,E,0,Non Refund,14.0,0,Transient,65.0,0,0,Canceled,2018-01-18,6605,2.0,3,long_term,195.0,couple,no,0,0,normal,0,32.5
"The Ritz-Carlton, Berlin Berlin, Germany",0,1,2018,October,43,19,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314.0,0,Transient,52.8,0,0,Check-Out,2018-10-20,6606,1.0,1,last_minute,52.8,solo,no,0,0,normal,0,52.8
"W New York – Times Square New York, NY",0,77,2019,March,13,26,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,67.15,0,1,Check-Out,2019-03-30,6607,2.0,4,medium_term,268.6,couple,no,0,0,normal,0,33.575
"W Barcelona Barcelona, Spain",0,66,2018,March,12,19,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,62.18,0,1,Check-Out,2018-03-23,6608,2.0,4,medium_term,248.72,couple,no,0,0,normal,0,31.09
"Newark Liberty International Airport Courtyard Newark, NJ",0,94,2017,November,45,1,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,0,Transient,26.23,0,1,Check-Out,2017-11-08,6609,2.0,7,long_term,183.61,couple,no,0,0,normal,0,13.115
"Leipzig Marriott Hotel Leipzig, Germany",0,227,2018,September,37,5,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,243.0,0,Contract,64.9,0,1,Check-Out,2018-09-19,6610,2.0,14,long_term,908.6000000000001,couple,no,1,0,normal,0,32.45
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",0,25,2018,April,18,30,0,1,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,186.0,0,2,Check-Out,2018-05-01,6611,3.0,1,short_term,186.0,family/group,no,0,0,normal,1,62.0
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",1,243,2019,July,30,26,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,14.0,0,Transient,110.0,0,0,Canceled,2018-11-25,6612,2.0,4,long_term,440.0,couple,no,0,0,peak,0,55.0
"Heidelberg Marriott Hotel Heidelberg, Germany",0,182,2019,July,30,29,3,6,2,2.0,0,HB,ESP,Direct,Direct,0,0,0,C,C,1,No Deposit,250.0,0,Transient,223.14,0,1,Check-Out,2019-08-07,6613,4.0,9,long_term,2008.2599999999998,family/group,no,1,0,peak,0,55.785
"The St. Regis Osaka Osaka, Japan",1,74,2018,December,50,10,0,1,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,127.8,0,2,Canceled,2018-09-29,6614,2.0,1,medium_term,127.8,couple,no,0,0,holiday,1,63.9
"Crystal Cove, Barbados Barbados",1,171,2018,April,18,30,4,10,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,65.7,0,2,Canceled,2017-11-28,6615,2.0,14,long_term,919.8000000000001,couple,no,0,0,normal,1,32.85
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",1,33,2017,December,50,9,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,44.0,0,Transient,110.0,0,0,Canceled,2017-11-16,6616,2.0,2,medium_term,220.0,couple,no,0,0,holiday,0,55.0
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,96,2019,August,34,21,1,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,168.0,0,Transient,89.1,0,0,Check-Out,2019-08-25,6617,2.0,4,long_term,356.4,couple,no,0,0,peak,0,44.55
"Marriott Puerto Vallarta Resort & Spa Puerto Vallarta, Mexico",0,59,2019,July,28,14,0,1,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,190.0,0,1,Check-Out,2019-07-15,6618,2.0,1,medium_term,190.0,couple,no,0,0,peak,0,95.0
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,16,2017,September,39,25,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,0,Transient-Party,180.0,0,0,Check-Out,2017-09-29,6619,2.0,4,short_term,720.0,couple,no,0,0,normal,0,90.0
"W Barcelona Barcelona, Spain",1,185,2019,August,32,8,0,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,164.7,0,0,Canceled,2019-04-04,6620,2.0,5,long_term,823.5,couple,no,0,0,peak,0,82.35
"W Barcelona Barcelona, Spain",0,98,2017,November,48,23,1,3,1,0.0,0,BB,ZAF,Groups,TA/TO,0,0,0,A,D,1,No Deposit,37.0,0,Transient-Party,70.0,0,0,Check-Out,2017-11-27,6621,1.0,4,long_term,280.0,solo,no,1,0,normal,0,70.0
"Waves, Barbados Barbados",0,17,2017,September,39,26,0,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient-Party,0.0,0,0,Check-Out,2017-09-26,6622,1.0,0,short_term,0.0,solo,no,0,0,normal,0,0.0
"Mt. Laurel Courtyard Mt. Laurel, NJ",0,32,2018,April,17,18,1,5,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,89.0,0,Transient,73.32,0,0,Check-Out,2018-04-24,6623,2.0,6,medium_term,439.91999999999996,couple,no,1,0,normal,0,36.66
"Tamarind, Barbados Barbados",1,53,2018,November,48,21,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,93.6,0,0,Canceled,2018-11-15,6624,2.0,2,medium_term,187.2,couple,no,0,0,normal,0,46.8
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",0,15,2018,January,5,26,0,1,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,91.0,0,Transient,80.0,0,0,Check-Out,2018-01-27,6625,1.0,1,short_term,80.0,solo,no,0,0,normal,0,80.0
"Courtyard by Marriott Paris Gare de Lyon Paris, France",0,83,2018,February,10,28,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,62.53,0,1,Check-Out,2018-03-02,6626,2.0,3,medium_term,187.59,couple,no,0,0,normal,0,31.265
"The Ritz-Carlton, Berlin Berlin, Germany",1,60,2019,April,14,8,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,117.0,0,1,Canceled,2019-03-05,6627,2.0,3,medium_term,351.0,couple,no,0,0,normal,0,58.5
"Treasure Beach, Barbados Barbados",0,159,2018,August,32,5,0,1,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,94.5,0,0,Check-Out,2018-08-06,6628,2.0,1,long_term,94.5,couple,no,0,0,peak,0,47.25
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,298,2019,April,15,14,1,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,0,Transient-Party,134.0,0,0,Check-Out,2019-04-17,6629,2.0,3,long_term,402.0,couple,no,1,0,normal,0,67.0
"The Ritz-Carlton, Berlin Berlin, Germany",0,7,2018,May,19,5,0,3,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,112.0,0,0,Check-Out,2018-05-08,6630,1.0,3,last_minute,336.0,solo,no,0,0,normal,0,112.0
"Anaheim Marriott Anaheim, CA",0,23,2018,June,25,17,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,133.5,0,1,Check-Out,2018-06-21,6631,2.0,4,short_term,534.0,couple,no,0,0,peak,0,66.75
"Anaheim Marriott Anaheim, CA",0,0,2017,November,48,24,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0,Transient,40.0,0,0,Check-Out,2017-11-25,6632,1.0,1,last_minute,40.0,solo,no,0,0,normal,0,40.0
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,25,2019,May,20,14,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,170.0,0,1,Check-Out,2019-05-18,6633,2.0,4,short_term,680.0,couple,no,0,0,normal,0,85.0
"Orlando Airport Courtyard Orlando, FL",1,54,2018,October,44,29,1,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,89.1,0,2,Canceled,2018-10-22,6634,2.0,2,medium_term,178.2,couple,no,0,0,normal,1,44.55
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",0,13,2019,March,12,19,2,0,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,9.0,0,Transient,148.0,0,2,Check-Out,2019-03-21,6635,1.0,2,short_term,296.0,solo,no,0,0,normal,1,148.0
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",1,24,2017,December,49,5,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,78.0,0,1,Canceled,2017-11-24,6636,2.0,3,short_term,234.0,couple,no,0,0,holiday,0,39.0
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,73,2019,February,8,19,2,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,42.0,0,0,Canceled,2018-12-08,6637,2.0,3,medium_term,126.0,couple,no,0,0,normal,0,21.0
"Turtle Beach, Barbados Barbados",0,2,2019,January,3,21,2,1,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,48.05,0,1,Check-Out,2019-01-24,6638,1.0,3,last_minute,144.14999999999998,solo,no,0,0,normal,0,48.05
